feature,concordance_index,concordance_index_std,p_value,fit_ok,kept,cluster_id,drop_reason
original_shape_Elongation,0.537427009413861,0.06978896281066342,0.46277464988339767,True,True,23.0,kept
original_shape_Flatness,0.4301018539301218,0.06462094040281169,0.804694103276851,True,False,24.0,cut_by_max_features
original_shape_LeastAxisLength,0.4416512903703316,0.06742315235192028,0.8154898469556385,True,False,32.0,cut_by_max_features
original_shape_MajorAxisLength,0.513270443503284,0.02173243852320889,0.7967666465928186,True,True,30.0,kept
original_shape_Maximum2DDiameterColumn,0.4605526948629529,0.045567683715709774,0.7478996994893692,True,False,28.0,cut_by_max_features
original_shape_Maximum2DDiameterRow,0.3638412796263491,0.0537147713205111,0.8188689652282768,True,False,31.0,redundant_with_original_shape_MinorAxisLength
original_shape_Maximum2DDiameterSlice,0.47139721916516,0.052536379727519816,0.8333961891737044,True,False,29.0,cut_by_max_features
original_shape_Maximum3DDiameter,0.45955435197686806,0.06535238035793017,0.6948559191051826,True,False,28.0,redundant_with_original_shape_Maximum2DDiameterColumn
original_shape_MeshVolume,0.41631469055270315,0.03197151781295657,0.9679688127794983,True,False,32.0,redundant_with_original_shape_LeastAxisLength
original_shape_MinorAxisLength,0.4566513928880096,0.09593323858732357,0.5975767094701658,True,False,31.0,cut_by_max_features
original_shape_Sphericity,0.47220358405176344,0.1302612864630689,0.5713786916776833,True,False,1.0,cut_by_max_features
original_shape_SurfaceArea,0.42709110163381564,0.030942255677814837,0.979177487450054,True,False,32.0,redundant_with_original_shape_LeastAxisLength
original_shape_SurfaceVolumeRatio,0.46912538954933314,0.1112327479373549,0.7126928964940953,True,False,33.0,cut_by_max_features
original_shape_VoxelVolume,0.41434083659209414,0.02942702535504751,0.9648086747634181,True,False,32.0,redundant_with_original_shape_LeastAxisLength
original_firstorder_10Percentile,0.5130422811323598,0.061149900835147174,0.482460716440522,True,True,13.0,kept
original_firstorder_90Percentile,0.4756101010858478,0.05305154963345703,0.42976063100237605,True,False,15.0,redundant_with_original_glrlm_ShortRunHighGrayLevelEmphasis
original_firstorder_Energy,0.5417210432903129,0.04707805886683302,0.53195966588045,True,True,12.0,kept
original_firstorder_Entropy,0.41579330372348833,0.06969518342349677,0.7039830180031301,True,False,8.0,redundant_with_original_glcm_SumSquares
original_firstorder_InterquartileRange,0.4694418936851797,0.1301254996779482,0.5633020816101508,True,False,8.0,redundant_with_original_glcm_SumSquares
original_firstorder_Kurtosis,0.4644615156660789,0.09357655427432506,0.7042064552241862,True,False,18.0,cut_by_max_features
original_firstorder_Maximum,0.5113644181582581,0.06492422064002787,0.4551879221466206,True,False,16.0,redundant_with_original_ngtdm_Complexity
original_firstorder_MeanAbsoluteDeviation,0.48086782840881737,0.11533838286810193,0.4690608731789423,True,False,8.0,redundant_with_original_glcm_SumSquares
original_firstorder_Mean,0.4900586795184097,0.047291108997409584,0.415887088431635,True,False,15.0,redundant_with_original_glrlm_ShortRunHighGrayLevelEmphasis
original_firstorder_Median,0.4855671941501112,0.04829066267511235,0.39538228466650516,True,False,15.0,redundant_with_original_glrlm_ShortRunHighGrayLevelEmphasis
original_firstorder_Minimum,0.4047275952491855,0.007978218460377927,0.8145042077095415,True,False,2.0,cut_by_max_features
original_firstorder_Range,0.5091411338639461,0.0635823391705078,0.43261597402412444,True,False,16.0,redundant_with_original_ngtdm_Complexity
original_firstorder_RobustMeanAbsoluteDeviation,0.47535612495825275,0.12163932785304775,0.5339667304940925,True,False,8.0,redundant_with_original_glcm_SumSquares
original_firstorder_RootMeanSquared,0.4820970494542813,0.04921504271995931,0.4132832048547216,True,False,15.0,redundant_with_original_glrlm_ShortRunHighGrayLevelEmphasis
original_firstorder_Skewness,0.4756744841990649,0.09129803795244426,0.5594961934051409,True,False,19.0,cut_by_max_features
original_firstorder_TotalEnergy,0.5342765211967778,0.04892839821232402,0.6334396749385383,True,False,12.0,redundant_with_original_firstorder_Energy
original_firstorder_Uniformity,0.4102624018262923,0.06887138691244224,0.816080096524339,True,False,8.0,redundant_with_original_glcm_SumSquares
original_firstorder_Variance,0.532015219886945,0.11079710312761291,0.2464098840863439,True,False,8.0,redundant_with_original_glcm_SumSquares
original_glcm_Autocorrelation,0.5198169098290105,0.04982730102985182,0.28509905496215926,True,False,15.0,redundant_with_original_glrlm_ShortRunHighGrayLevelEmphasis
original_glcm_ClusterProminence,0.5300350684859831,0.11956175711312138,0.1429472473067445,True,False,8.0,redundant_with_original_glcm_SumSquares
original_glcm_ClusterShade,0.4664384859910739,0.06996279897397917,0.15576919854418864,True,False,17.0,cut_by_max_features
original_glcm_ClusterTendency,0.5285363250910143,0.12865246712073253,0.31204245568490946,True,False,8.0,redundant_with_original_glcm_SumSquares
original_glcm_Contrast,0.5258255795327583,0.10806545592452461,0.26679220345482646,True,False,8.0,redundant_with_original_glcm_SumSquares
original_glcm_Correlation,0.3773769357138157,0.10022986933631926,0.9177875723669878,True,False,3.0,cut_by_max_features
original_glcm_DifferenceAverage,0.5246617229369259,0.11969978076944619,0.5630455490098036,True,False,8.0,redundant_with_original_glcm_SumSquares
original_glcm_DifferenceEntropy,0.43882570340612304,0.09150813905104073,0.8402147000335285,True,False,8.0,redundant_with_original_glcm_SumSquares
original_glcm_DifferenceVariance,0.5261849563344551,0.0961338747468379,0.2294167572135889,True,False,8.0,redundant_with_original_glcm_SumSquares
original_glcm_Id,0.4335117934974214,0.0971160822921525,0.965867579787709,True,False,5.0,redundant_with_original_glszm_SmallAreaEmphasis
original_glcm_Idm,0.4383069590457579,0.09766780962661603,0.9973356545312183,True,False,5.0,redundant_with_original_glszm_SmallAreaEmphasis
original_glcm_Idmn,0.542962782847301,0.1656331235991186,0.4371326263342439,True,False,20.0,redundant_with_original_glcm_Idn
original_glcm_Idn,0.5467514731325325,0.15296979856240367,0.4596910832536303,True,True,20.0,kept
original_glcm_Imc1,0.4019111066099458,0.07246820108882568,0.9388110590696188,True,False,10.0,redundant_with_original_glrlm_GrayLevelNonUniformity
original_glcm_Imc2,0.40868279739650604,0.08353367715733924,0.9126691967434312,True,False,10.0,redundant_with_original_glrlm_GrayLevelNonUniformity
original_glcm_InverseVariance,0.42836244425174097,0.10080908477893542,0.9904607923023019,True,False,5.0,redundant_with_original_glszm_SmallAreaEmphasis
original_glcm_JointAverage,0.4914278445912113,0.05184529727615889,0.3836119333475476,True,False,15.0,redundant_with_original_glrlm_ShortRunHighGrayLevelEmphasis
original_glcm_JointEnergy,0.43667579105722376,0.0550321134127083,0.6853718034203113,True,False,7.0,redundant_with_original_glcm_JointEntropy
original_glcm_JointEntropy,0.49012588904833543,0.07272850576931938,0.627372781227038,True,False,7.0,cut_by_max_features
original_glcm_MCC,0.42266589225735496,0.06657109470189025,0.9047805073094151,True,False,4.0,cut_by_max_features
original_glcm_MaximumProbability,0.4212129509925141,0.04106622741087963,0.6930698771421131,True,False,7.0,redundant_with_original_glcm_JointEntropy
original_glcm_SumAverage,0.4914278445912113,0.05184529727615889,0.3836119333475466,True,False,15.0,redundant_with_original_glrlm_ShortRunHighGrayLevelEmphasis
original_glcm_SumEntropy,0.41545090958074454,0.08880849037358102,0.7211792437764318,True,False,8.0,redundant_with_original_glcm_SumSquares
original_glcm_SumSquares,0.5358911268488388,0.11873292831441332,0.29033704876482497,True,True,8.0,kept
original_gldm_DependenceEntropy,0.49902725865466674,0.08111177226285286,0.3351441210570132,True,False,25.0,redundant_with_original_glszm_ZoneEntropy
original_gldm_DependenceNonUniformity,0.47066136777589335,0.0799798762581024,0.6332509140583074,True,False,26.0,cut_by_max_features
original_gldm_DependenceNonUniformityNormalized,0.4336551076312123,0.0979006574871701,0.8785898319495413,True,False,5.0,redundant_with_original_glszm_SmallAreaEmphasis
original_gldm_DependenceVariance,0.39964606881191583,0.06783484749834734,0.8434639959494284,True,False,5.0,redundant_with_original_glszm_SmallAreaEmphasis
original_gldm_GrayLevelNonUniformity,0.460623535400334,0.0863991057284205,0.7037193450800474,True,False,10.0,redundant_with_original_glrlm_GrayLevelNonUniformity
original_gldm_GrayLevelVariance,0.5319631858282884,0.11029842849423124,0.24659808916563442,True,False,8.0,redundant_with_original_glcm_SumSquares
original_gldm_HighGrayLevelEmphasis,0.5174329678754022,0.05187919411338412,0.2839976377476342,True,False,15.0,redundant_with_original_glrlm_ShortRunHighGrayLevelEmphasis
original_gldm_LargeDependenceEmphasis,0.4314590611809108,0.08549643704191692,0.9692314198633734,True,False,5.0,redundant_with_original_glszm_SmallAreaEmphasis
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.5058623245072,0.05619079180082179,0.3960625720122054,True,True,21.0,kept
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.4984983722896256,0.05383483980174805,0.726062038894028,True,False,14.0,redundant_with_original_glszm_LargeAreaLowGrayLevelEmphasis
original_gldm_LowGrayLevelEmphasis,0.5398708494404142,0.058751707713856044,0.36459246021147296,True,False,11.0,redundant_with_original_gldm_SmallDependenceLowGrayLevelEmphasis
original_gldm_SmallDependenceEmphasis,0.4708512160679409,0.11442224880184292,0.749673936397699,True,False,5.0,redundant_with_original_glszm_SmallAreaEmphasis
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.5199111675019861,0.07696033564727361,0.3164679586085861,True,False,15.0,redundant_with_original_glrlm_ShortRunHighGrayLevelEmphasis
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.5596034923551075,0.10661573729574696,0.1606489334794223,True,True,11.0,kept
original_glrlm_GrayLevelNonUniformity,0.46092773312162033,0.0881563532876969,0.6993333669919789,True,False,10.0,cut_by_max_features
original_glrlm_GrayLevelNonUniformityNormalized,0.4099741007686745,0.07106085297544942,0.8280639512794411,True,False,8.0,redundant_with_original_glcm_SumSquares
original_glrlm_GrayLevelVariance,0.5333956020374649,0.10796892764387503,0.24473846576207592,True,False,8.0,redundant_with_original_glcm_SumSquares
original_glrlm_HighGrayLevelRunEmphasis,0.5159920384381944,0.0505069005743373,0.2847210633578698,True,False,15.0,redundant_with_original_glrlm_ShortRunHighGrayLevelEmphasis
original_glrlm_LongRunEmphasis,0.433548736218515,0.10335109038270432,0.8897062150447473,True,False,5.0,redundant_with_original_glszm_SmallAreaEmphasis
original_glrlm_LongRunHighGrayLevelEmphasis,0.49907524767719486,0.04676800832481392,0.2756855745135107,True,False,15.0,redundant_with_original_glrlm_ShortRunHighGrayLevelEmphasis
original_glrlm_LongRunLowGrayLevelEmphasis,0.5333158335729052,0.05558861414586502,0.4093840287248226,True,False,11.0,redundant_with_original_gldm_SmallDependenceLowGrayLevelEmphasis
