feature,concordance_index,concordance_index_std,p_value,fit_ok,kept,cluster_id,drop_reason
original_shape_Elongation,0.5511772444562191,0.10766889819905634,0.5459750386966353,True,True,23.0,kept
original_shape_Flatness,0.5427511478792748,0.19822496336616374,0.429347112180534,True,True,24.0,kept
original_shape_LeastAxisLength,0.5494948802699365,0.13238232461859445,0.4444702378481964,True,False,32.0,redundant_with_original_shape_SurfaceArea
original_shape_MajorAxisLength,0.36132980323097125,0.12905040431461137,0.8027661386481173,True,False,30.0,cut_by_max_features
original_shape_Maximum2DDiameterColumn,0.38898481342665203,0.1455527592207571,0.5051516902215425,True,False,28.0,redundant_with_original_shape_Maximum3DDiameter
original_shape_Maximum2DDiameterRow,0.41371106078189596,0.040126462480797404,0.8375136210356451,True,False,31.0,redundant_with_original_shape_MinorAxisLength
original_shape_Maximum2DDiameterSlice,0.38970930421169114,0.1375318771773009,0.9249132266938603,True,False,29.0,cut_by_max_features
original_shape_Maximum3DDiameter,0.3948965459679965,0.10703789609860993,0.9165862727322303,True,False,28.0,cut_by_max_features
original_shape_MeshVolume,0.5271099601723979,0.1301018724731664,0.5948606022614477,True,False,32.0,redundant_with_original_shape_SurfaceArea
original_shape_MinorAxisLength,0.5470307344436558,0.08336211590496888,0.6316933688944404,True,True,31.0,kept
original_shape_Sphericity,0.4225696387778261,0.11750346087466067,0.6323314679636038,True,False,1.0,cut_by_max_features
original_shape_SurfaceArea,0.5504195180492693,0.13916418806684228,0.558714593433815,True,True,32.0,kept
original_shape_SurfaceVolumeRatio,0.4621115058565219,0.11203829416275074,0.7860848465017025,True,False,33.0,cut_by_max_features
original_shape_VoxelVolume,0.5259051408952894,0.12970519667831995,0.5950102900879002,True,False,32.0,redundant_with_original_shape_SurfaceArea
original_firstorder_10Percentile,0.44505908274201794,0.048088372221161385,0.967292048121569,True,False,13.0,cut_by_max_features
original_firstorder_90Percentile,0.44668202684252123,0.0910851539075313,0.9153738899134557,True,False,15.0,redundant_with_original_glcm_Autocorrelation
original_firstorder_Energy,0.5140719048546873,0.10637831409791774,0.6889672088787373,True,True,12.0,kept
original_firstorder_Entropy,0.3992604037333868,0.0907225904686838,0.926958337101814,True,False,8.0,redundant_with_original_glcm_ClusterTendency
original_firstorder_InterquartileRange,0.3674030798423698,0.06528595415877242,0.9101993001393202,True,False,8.0,redundant_with_original_glcm_ClusterTendency
original_firstorder_Kurtosis,0.4378917741878112,0.07141912443393648,0.8946264330234205,True,False,18.0,cut_by_max_features
original_firstorder_Maximum,0.43015351057739437,0.08890103461613126,0.881366570113742,True,False,16.0,redundant_with_original_ngtdm_Complexity
original_firstorder_MeanAbsoluteDeviation,0.39144176046990997,0.06541663107151889,0.9307967902983748,True,False,8.0,redundant_with_original_glcm_ClusterTendency
original_firstorder_Mean,0.4214450266077926,0.0767267192211612,0.9208110773757429,True,False,15.0,redundant_with_original_glcm_Autocorrelation
original_firstorder_Median,0.4181859772013916,0.09261936262340555,0.9242491912753705,True,False,15.0,redundant_with_original_glcm_Autocorrelation
original_firstorder_Minimum,0.44210226691539595,0.04040460707704521,0.9757507392920098,True,False,2.0,cut_by_max_features
original_firstorder_Range,0.42991535239158346,0.07638644720667914,0.8816902216424913,True,False,16.0,redundant_with_original_ngtdm_Complexity
original_firstorder_RobustMeanAbsoluteDeviation,0.3743063986850088,0.06236858052460035,0.9133964350542094,True,False,8.0,redundant_with_original_glcm_ClusterTendency
original_firstorder_RootMeanSquared,0.42260216764787967,0.08305386951165084,0.9185566289493743,True,False,15.0,redundant_with_original_glcm_Autocorrelation
original_firstorder_Skewness,0.41986835709147874,0.13784944897297327,0.6715972761089442,True,False,19.0,cut_by_max_features
original_firstorder_TotalEnergy,0.4881970733968071,0.12062405993452685,0.7012840799701096,True,False,12.0,redundant_with_original_firstorder_Energy
original_firstorder_Uniformity,0.4475926211115057,0.12558860574725803,0.7396378369422901,True,False,8.0,redundant_with_original_glcm_ClusterTendency
original_firstorder_Variance,0.4747817777249924,0.12789589096160614,0.8143446916982062,True,False,8.0,redundant_with_original_glcm_ClusterTendency
original_glcm_Autocorrelation,0.4940617578234906,0.132105960048532,0.8159818267983926,True,True,15.0,kept
original_glcm_ClusterProminence,0.48347246580449604,0.11703003011181878,0.7550617725093388,True,False,8.0,redundant_with_original_glcm_ClusterTendency
original_glcm_ClusterShade,0.5234323201629187,0.20879053828119207,0.7391356909097615,True,True,17.0,kept
original_glcm_ClusterTendency,0.4875250625376367,0.11433685929656012,0.7910298876500195,True,False,8.0,cut_by_max_features
original_glcm_Contrast,0.44612813132581836,0.13494201872156927,0.8301366349154204,True,False,8.0,redundant_with_original_glcm_ClusterTendency
original_glcm_Correlation,0.4160519062335114,0.10686019506927161,0.9076589379318492,True,False,3.0,cut_by_max_features
original_glcm_DifferenceAverage,0.3642340186053123,0.025271548597108694,0.9488761304529587,True,False,8.0,redundant_with_original_glcm_ClusterTendency
original_glcm_DifferenceEntropy,0.3713788154042276,0.02811191640367785,0.9365457376175718,True,False,8.0,redundant_with_original_glcm_ClusterTendency
original_glcm_DifferenceVariance,0.44436780247354096,0.12861442687765368,0.8427632197000198,True,False,8.0,redundant_with_original_glcm_ClusterTendency
original_glcm_Id,0.38494403327071874,0.06205034804510617,0.8842908144707271,True,False,5.0,redundant_with_original_glszm_LargeAreaEmphasis
original_glcm_Idm,0.39772906125005375,0.10406311856900444,0.8712481451072159,True,False,5.0,redundant_with_original_glszm_LargeAreaEmphasis
original_glcm_Idmn,0.4256555077677914,0.04027140093668452,0.9807229070897956,True,False,20.0,cut_by_max_features
original_glcm_Idn,0.42365757328932474,0.020616021081904544,0.9848887149475206,True,False,20.0,redundant_with_original_glcm_Idmn
original_glcm_Imc1,0.47263974526230645,0.15550130735049614,0.6576192402576424,True,False,10.0,redundant_with_original_gldm_GrayLevelNonUniformity
original_glcm_Imc2,0.47078315497976336,0.1630056849469073,0.6034917407236762,True,False,10.0,redundant_with_original_gldm_GrayLevelNonUniformity
original_glcm_InverseVariance,0.35370283310587414,0.03138414325023899,0.9317754283468079,True,False,5.0,redundant_with_original_glszm_LargeAreaEmphasis
original_glcm_JointAverage,0.4067662435007492,0.07871540858116528,0.9199828507889043,True,False,15.0,redundant_with_original_glcm_Autocorrelation
original_glcm_JointEnergy,0.4846581157480475,0.07646735175492536,0.6141139872469126,True,False,7.0,redundant_with_original_glcm_JointEntropy
original_glcm_JointEntropy,0.4962219245627318,0.0549554503034805,0.9500595130383519,True,True,7.0,kept
original_glcm_MCC,0.3960800229911995,0.021830545203719895,0.8916636584088219,True,False,4.0,cut_by_max_features
original_glcm_MaximumProbability,0.4748955441735655,0.06420900093743466,0.6251687570542179,True,False,7.0,redundant_with_original_glcm_JointEntropy
original_glcm_SumAverage,0.4067662435007492,0.07871540858116528,0.9199828507889025,True,False,15.0,redundant_with_original_glcm_Autocorrelation
original_glcm_SumEntropy,0.4030278826396545,0.0595686127451512,0.9231766519299607,True,False,8.0,redundant_with_original_glcm_ClusterTendency
