feature,concordance_index,concordance_index_std,p_value,fit_ok,kept,cluster_id,drop_reason
original_shape_Elongation,0.30896159515179117,0.07044839234477361,0.7893592304112681,True,False,23.0,cut_by_max_features
original_shape_Flatness,0.5882467807687476,0.13281981034303314,0.561926433370764,True,False,24.0,cut_by_max_features
original_shape_LeastAxisLength,0.6007095638437563,0.08308708942741362,0.6056070881496989,True,False,32.0,redundant_with_original_shape_MeshVolume
original_shape_MajorAxisLength,0.37700692149404497,0.10589740484965614,0.9721881911560717,True,False,30.0,cut_by_max_features
original_shape_Maximum2DDiameterColumn,0.4561223005133961,0.11592053589190127,0.8278342424698453,True,False,28.0,cut_by_max_features
original_shape_Maximum2DDiameterRow,0.416420171469419,0.06052766492680873,0.9951933021605721,True,False,31.0,redundant_with_original_shape_MinorAxisLength
original_shape_Maximum2DDiameterSlice,0.40844362628812175,0.1462395344806549,0.9330691077011648,True,False,29.0,cut_by_max_features
original_shape_Maximum3DDiameter,0.450018047034349,0.11470795350018091,0.8415112305659708,True,False,28.0,redundant_with_original_shape_Maximum2DDiameterColumn
original_shape_MeshVolume,0.6072103821506969,0.10010897802725681,0.6260577293165176,True,True,32.0,kept
original_shape_MinorAxisLength,0.42368170345207135,0.11654428350721216,0.8010564322460763,True,False,31.0,cut_by_max_features
original_shape_Sphericity,0.6428683849756858,0.18662692427690336,0.22455379335740802,True,True,1.0,kept
original_shape_SurfaceArea,0.519393738935234,0.10542924364362281,0.8226019500208069,True,False,32.0,redundant_with_original_shape_MeshVolume
original_shape_SurfaceVolumeRatio,0.6302476609796368,0.16361878204005184,0.2617782256382953,True,True,33.0,kept
original_shape_VoxelVolume,0.6072103821506969,0.10010897802725681,0.6325458260810325,True,False,32.0,redundant_with_original_shape_MeshVolume
original_firstorder_10Percentile,0.6327626602611895,0.14206064187653106,0.10834819638234734,True,True,13.0,kept
original_firstorder_90Percentile,0.5637014765673221,0.14467041358704583,0.06524606802858283,True,False,15.0,redundant_with_original_glrlm_LongRunHighGrayLevelEmphasis
original_firstorder_Energy,0.6621996958121301,0.12190731636704971,0.17662545181355932,True,False,12.0,redundant_with_original_firstorder_TotalEnergy
original_firstorder_Entropy,0.5676261597953285,0.17369291341064358,0.2736930682432104,True,False,8.0,redundant_with_original_glszm_GrayLevelVariance
original_firstorder_InterquartileRange,0.43937446285898646,0.2088842413331893,0.22478851308680706,True,False,8.0,redundant_with_original_glszm_GrayLevelVariance
original_firstorder_Kurtosis,0.599846803542171,0.14070055850237154,0.42899489540414826,True,True,18.0,kept
original_firstorder_Maximum,0.6666259275425579,0.11726569242444443,0.09935005167202063,True,True,16.0,kept
original_firstorder_MeanAbsoluteDeviation,0.5602271106761267,0.20556876803312424,0.11929885566231935,True,False,8.0,redundant_with_original_glszm_GrayLevelVariance
original_firstorder_Mean,0.5974069836691058,0.12577324961804018,0.05412212766072001,True,False,15.0,redundant_with_original_glrlm_LongRunHighGrayLevelEmphasis
original_firstorder_Median,0.6188877261188575,0.14876867905370603,0.04397304389325601,True,False,15.0,redundant_with_original_glrlm_LongRunHighGrayLevelEmphasis
original_firstorder_Minimum,0.4753022539363229,0.19972468593857226,0.8305802382854939,True,False,2.0,cut_by_max_features
original_firstorder_Range,0.662042830302751,0.1506483929023011,0.09906968280860744,True,False,16.0,redundant_with_original_firstorder_Maximum
