feature,concordance_index,concordance_index_std,p_value,fit_ok,kept,cluster_id,drop_reason
original_shape_Elongation,0.3750261969996128,0.05925585944759802,0.9473609637343159,True,False,23.0,cut_by_max_features
original_shape_Flatness,0.5596942287966697,0.1173786609462451,0.3349122808597095,True,True,24.0,kept
original_shape_LeastAxisLength,0.5682223386857708,0.10985871069242648,0.27426057560043415,True,True,32.0,kept
original_shape_MajorAxisLength,0.5032675510323228,0.10592692900823018,0.6595805128325605,True,False,30.0,cut_by_max_features
original_shape_Maximum2DDiameterColumn,0.5244757033947031,0.09763577401242056,0.5304716769356681,True,True,28.0,kept
original_shape_Maximum2DDiameterRow,0.5225938752206213,0.12977951566655913,0.30835033639253473,True,True,31.0,kept
original_shape_Maximum2DDiameterSlice,0.4782661012876514,0.06760782781777785,0.6576931935073911,True,False,29.0,cut_by_max_features
original_shape_Maximum3DDiameter,0.43948262824190165,0.09759887036193374,0.47165941016919066,True,False,28.0,redundant_with_original_shape_Maximum2DDiameterColumn
original_shape_MeshVolume,0.47394334642848746,0.11184032365497797,0.5026110598056851,True,False,32.0,redundant_with_original_shape_LeastAxisLength
original_shape_MinorAxisLength,0.43371987316265653,0.11462894341175206,0.6872032741288293,True,False,31.0,redundant_with_original_shape_Maximum2DDiameterRow
original_shape_Sphericity,0.4437476353996005,0.11672258058207927,0.8498932141800474,True,False,1.0,cut_by_max_features
original_shape_SurfaceArea,0.525136906366541,0.1225189473048725,0.38472158804045187,True,False,32.0,redundant_with_original_shape_LeastAxisLength
original_shape_SurfaceVolumeRatio,0.5281378585360924,0.1341290630290852,0.59480328120987,True,True,33.0,kept
original_shape_VoxelVolume,0.47168345942283774,0.11282778579154833,0.5043153995940578,True,False,32.0,redundant_with_original_shape_LeastAxisLength
original_firstorder_10Percentile,0.4402482811890759,0.06653438881145841,0.5103438594886867,True,False,13.0,cut_by_max_features
original_firstorder_90Percentile,0.4461480472674791,0.0918474253466658,0.3348262598938925,True,False,15.0,redundant_with_original_gldm_SmallDependenceHighGrayLevelEmphasis
original_firstorder_Energy,0.5061410704958544,0.11845054696074944,0.3577532001824387,True,False,12.0,redundant_with_original_firstorder_TotalEnergy
original_firstorder_Entropy,0.5031248076989903,0.1305740832849744,0.41053358449922317,True,False,8.0,redundant_with_original_glcm_DifferenceAverage
original_firstorder_InterquartileRange,0.48312470108736677,0.1423776792100068,0.31169455422956965,True,False,8.0,redundant_with_original_glcm_DifferenceAverage
